name,github,api,website
prompt-engineering,https://github.com/prompt-engineering?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/prompt-engineering,https://www.clickprompt.org/
reworkd,https://github.com/reworkd?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/reworkd,https://reworkd.ai
alchemyplatform,https://github.com/alchemyplatform?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/alchemyplatform,https://www.alchemy.com
shardeum,https://github.com/shardeum?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/shardeum,https://shardeum.org/
smol-ai,https://github.com/smol-ai?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/smol-ai,https://twitter.com/SmolModels
payloadcms,https://github.com/payloadcms?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/payloadcms,https://payloadcms.com
LLM-Red-Team,https://github.com/LLM-Red-Team?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/LLM-Red-Team,https://llm-red-team.github.io/free-api/
code100x,https://github.com/code100x?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/code100x,
quarto-dev,https://github.com/quarto-dev?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/quarto-dev,https://quarto.org
langgenius,https://github.com/langgenius?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/langgenius,https://dify.ai
vueuse,https://github.com/vueuse?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/vueuse,https://vueuse.org
alan-ai,https://github.com/alan-ai?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/alan-ai,https://alan.app/platform
backstage,https://github.com/backstage?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/backstage,https://backstage.io
kaogeek,https://github.com/kaogeek?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/kaogeek,https://kaogeek.dev
snapshot-labs,https://github.com/snapshot-labs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/snapshot-labs,https://snapshot.org
supertokens,https://github.com/supertokens?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/supertokens,https://supertokens.com
safe-global,https://github.com/safe-global?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/safe-global,safe.global
squareup,https://github.com/squareup?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/squareup,https://squareup.com
ston-fi,https://github.com/ston-fi?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/ston-fi,https://ston.fi/
LEGO,https://github.com/LEGO?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/LEGO,lego.com
getgems-io,https://github.com/getgems-io?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/getgems-io,getgems.io
refinedev,https://github.com/refinedev?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/refinedev,https://refine.dev
VSCodium,https://github.com/VSCodium?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/VSCodium,https://vscodium.com
SOS-RS,https://github.com/SOS-RS?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/SOS-RS,
wevm,https://github.com/wevm?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/wevm,wevm.dev
spacebarchat,https://github.com/spacebarchat?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/spacebarchat,https://spacebar.chat
DefinitelyTyped,https://github.com/DefinitelyTyped?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/DefinitelyTyped,http://definitelytyped.org/
trpc,https://github.com/trpc?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/trpc,https://trpc.io
drizzle-team,https://github.com/drizzle-team?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/drizzle-team,https://drizzle.team
subsquid,https://github.com/subsquid?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/subsquid,subsquid.io
ngneat,https://github.com/ngneat?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/ngneat,https://ngneat.com
linear,https://github.com/linear?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/linear,https://linear.app
AssemblyScript,https://github.com/AssemblyScript?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/AssemblyScript,https://www.assemblyscript.org
syncswap,https://github.com/syncswap?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/syncswap,syncswap.xyz
nextui-org,https://github.com/nextui-org?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/nextui-org,https://nextui.org
sst,https://github.com/sst?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/sst,https://sst.dev
